idlibro,idtransaccion,saldo,monto,fechalibro
1283,599,,869693.65,2026-07-28
1284,119,197342.75,118763.17,2026-12-08
1285,657,201866.36,107049.71,2025-11-02
1286,2646,550612.94,954246.52,2026-03-15
1287,1296,192562.45,709942.67,2025-08-04
1288,81,428281.26,875493.16,2023-03-22
1289,2503,771999.42,231902.4,2022-10-30
1290,3775,454418.4,386887.95,2024-06-23
1291,1603,932868.15,961704.28,2023-03-18
1292,2610,,178309.26,2023-11-28
1293,902,122843.17,972608.22,2025-05-02
1294,3471,581779.31,574618.17,
1295,3329,974321.0,95478.61,2024-02-28
1296,4875,663952.49,906258.58,2022-11-08
1297,3258,577081.51,946417.95,2025-10-20
1298,849,,927039.54,2023-08-26
1299,187,733017.11,707595.19,2025-03-23
1300,2518,621007.82,708440.33,2024-05-24
1301,4347,114089.93,115497.33,
1302,3400,984055.66,994518.45,2024-05-05
1303,576,812754.73,522790.04,2024-08-14
1304,1151,973669.03,751221.8,2022-09-11
1305,4767,327407.76,196927.99,2023-10-27
1306,1361,666884.52,346129.78,2023-03-19
1307,2879,763086.2,,
1308,3213,79839.12,37580.94,2023-10-01
1309,2134,136842.45,305672.47,2024-01-27
1310,4518,856082.97,823857.47,2024-01-22
1311,865,127326.4,977031.78,2024-08-19
1312,1008,518000.04,587948.41,2024-03-17
1313,436,471690.66,493382.64,2026-04-07
1314,1630,836862.21,961320.47,2024-12-02
1315,2336,313653.7,700754.83,2025-08-14
1316,2913,916963.56,,2024-09-05
1317,2220,274608.94,972029.78,2023-11-17
1318,1314,387652.22,835246.8,2023-03-19
1319,655,720263.72,,2024-06-27
1320,1266,5547.83,273068.66,2022-09-09
1321,4996,291489.32,26222.45,2024-01-02
1322,671,622291.45,739497.28,2024-04-27
1323,1986,877529.0,507862.28,2024-03-01
1324,1109,26996.33,611642.21,2023-05-01
1325,2016,987708.63,498480.93,2026-11-10
1326,2607,379737.45,640531.49,
1327,3967,801931.28,374109.61,2022-12-02
1328,2286,890001.79,867421.33,2024-09-12
1329,3758,738930.76,856606.02,2025-03-06
1330,1089,377110.47,435955.85,2025-08-21
1331,4914,274849.15,912509.41,2022-07-14
1332,4031,927717.78,200957.51,2023-08-15
1333,2065,728857.23,51129.71,2025-05-26
1334,3850,193507.44,257327.67,2025-03-09
1335,2229,262684.78,575673.93,2025-12-28
1336,4810,654633.84,497033.6,2023-04-27
1337,3167,645117.43,316607.74,2024-06-01
1338,3304,649782.71,928918.24,2023-08-12
1339,4762,460513.48,746290.5,
1340,2815,619019.01,978375.48,2026-06-03
1341,123,392577.84,931008.43,2024-10-01
1342,4192,12437.02,901362.49,2024-05-28
1343,368,603440.59,906630.82,
1344,4902,817868.98,724173.0,2024-08-01
1345,4108,59669.71,921823.73,2025-12-05
1346,1600,131995.68,,
1347,4674,127487.17,650148.02,2022-08-02
1348,2246,636937.17,937331.5,2026-02-02
1349,2674,78503.25,896252.78,2026-11-13
1350,2176,938930.95,369615.84,2024-03-21
1351,698,917987.23,448363.02,
1352,397,165922.14,,2023-03-07
1353,1738,217376.08,964008.64,2026-09-10
1354,1735,907163.8,824613.05,2025-09-24
1355,4395,846067.56,196933.05,2023-12-01
1356,4850,289549.85,511049.26,2023-11-24
1357,2518,336682.85,716141.82,2023-08-24
1358,1607,750841.19,913026.44,2024-06-14
1359,762,431809.67,277728.02,2022-07-30
1360,225,364929.69,819510.44,2026-02-02
1361,3857,701271.15,596155.49,2023-09-22
1362,2392,309183.14,574573.82,2025-12-03
1363,2873,495033.07,931011.86,2026-08-04
1364,4225,669789.45,556978.5,2022-08-31
1365,2555,459918.68,652676.61,2026-11-02
1366,1995,452467.73,588416.28,2023-06-16
1367,1729,395349.93,752032.97,2023-01-29
1368,2121,415164.76,884885.42,2022-09-30
1369,3521,632084.29,112129.9,2024-11-24
1370,1419,577094.87,778958.22,2023-07-02
1371,722,198151.0,945899.71,2024-10-24
1372,4650,822178.24,326549.27,2024-10-02
1373,4051,986720.97,680323.26,2026-04-06
1374,3336,53279.71,,2026-01-12
1375,2844,780441.4,415110.43,2026-06-05
1376,1,316237.16,629842.45,2023-04-11
1377,4770,184214.16,745620.37,2023-04-28
1378,3425,639065.14,572538.52,2025-11-27
1379,3585,187068.5,817769.77,2024-10-26
1380,335,752455.71,679539.53,2024-05-03
1381,3919,962509.19,951287.68,2023-04-21
1382,4774,300550.28,570917.28,2024-06-04
1383,1653,865377.69,751013.22,2023-04-28
1384,3227,790569.32,37219.58,2026-03-20
1385,1955,616005.77,995727.3,2022-12-23
1386,4038,609762.09,825821.01,
1387,1919,765987.35,589106.62,2026-07-28
1388,2113,794445.27,326799.09,2025-05-17
1389,1809,,299938.01,2024-03-30
1390,1808,638803.93,324146.7,2023-09-10
1391,4196,222609.95,185023.47,2025-10-15
1392,3550,267140.59,647638.18,2026-03-15
1393,2737,477266.97,269513.84,2025-07-22
1394,4659,129687.85,919530.58,2026-07-28
1395,14,25832.72,,2022-12-19
1396,1533,15830.79,134791.37,2025-01-11
1397,2071,259193.17,180471.98,2026-12-18
1398,2165,548368.95,30357.87,2025-01-05
1399,1075,,,2024-10-17
1400,3514,170607.74,601587.71,2026-04-07
1401,3727,894483.11,71019.25,2026-03-15
1402,3334,658439.6,119558.8,2023-05-30
1403,1242,167136.56,232703.19,2025-04-06
1404,4367,592470.55,629623.92,2023-11-22
1405,2180,865757.06,180356.66,2026-08-31
1406,3484,621295.26,695931.69,2022-11-10
1407,3901,425565.46,791279.88,2025-09-23
1408,1443,577513.89,91384.62,2025-07-12
1409,1933,,134204.67,2025-11-16
1410,1060,782822.74,433301.45,2026-10-21
1411,4665,555585.47,453621.53,2024-11-27
1412,1092,297932.47,912886.52,2026-07-25
1413,928,973084.87,492382.36,2026-06-23
1414,2143,473907.82,582447.16,2022-12-16
1415,2790,,709912.69,2025-03-09
1416,2939,205313.0,259667.4,2023-11-11
1417,3017,579812.05,132053.08,2022-10-23
1418,2415,,705353.93,2026-09-07
1419,2470,698590.7,884203.19,2024-03-08
1420,1122,,234851.74,
1421,3288,693846.49,,2023-03-28
1422,4340,159205.53,640746.81,2023-01-10
1423,3857,661153.28,51718.78,2026-08-15
1424,1962,408387.87,,2023-09-13
1425,3529,934640.32,980164.69,2024-03-11
1426,4548,790503.54,367360.51,2023-02-18
1427,278,231637.21,673776.9,2026-01-13
1428,2997,383157.32,429934.43,2026-07-03
1429,2522,229000.64,198118.58,2026-08-20
1430,2219,,777509.26,2024-08-18
1431,2845,209102.42,871983.55,2022-11-21
1432,4953,26116.8,,2023-10-27
1433,3647,397133.9,45244.06,2022-11-25
1434,663,680986.89,930830.64,2022-12-12
1435,2011,920981.39,281539.69,2025-01-22
1436,1426,492733.4,748969.81,2024-09-13
1437,3497,63902.35,924555.75,2025-05-17
1438,4138,799209.83,521113.47,
1439,4665,22508.17,157959.6,2024-02-11
1440,4027,205569.57,861800.01,2026-04-10
1441,3839,407337.7,,2026-01-31
1442,4299,100852.95,395539.02,2026-01-15
1443,1822,368711.24,548134.5,2025-05-10
1444,3905,297999.71,164424.23,2024-08-10
1445,2152,316752.53,740383.91,2023-11-13
1446,2562,958942.49,881306.23,2022-11-11
1447,253,732096.69,667676.87,2025-04-14
1448,982,554466.01,546286.41,2024-05-30
1449,3355,612832.14,,2024-07-27
1450,342,834542.81,917263.79,2023-12-29
1451,4534,180853.79,398245.69,2022-08-15
1452,403,958675.6,336730.24,2026-05-26
1453,915,831428.03,88281.3,2026-03-27
1454,1791,918697.8,976986.13,2024-04-24
1455,4116,348425.67,285107.0,2023-12-30
1456,4762,673161.13,572241.33,2026-10-04
1457,4125,954027.07,769931.08,2026-08-06
1458,3648,737886.12,701496.9,2026-09-23
1459,4150,759856.68,142428.51,
1460,922,979885.97,544125.45,2023-09-08
1461,2955,579709.15,835551.65,
1462,581,293522.65,,
1463,2690,883570.31,922118.63,2023-01-24
1464,2375,77164.0,757112.21,2026-08-28
1465,3718,47112.71,387106.66,2022-11-01
1466,4230,989346.94,100679.92,2025-03-28
1467,4562,781770.88,559516.99,2024-10-15
1468,336,534153.74,893241.75,2025-07-14
1469,558,,637639.51,2023-06-29
1470,4062,352340.57,460249.61,2026-11-02
1471,4148,40343.27,790486.75,2023-04-22
1472,2139,106514.76,975866.73,2024-07-14
1473,3921,638526.74,519431.26,2026-08-15
1474,1446,256205.4,,2026-06-12
1475,1972,983781.15,854447.8,2023-01-31
1476,4839,646139.49,982186.46,2024-07-21
1477,2779,674372.4,182421.07,2024-12-25
1478,2773,895813.91,266015.25,2025-01-28
1479,2307,813201.53,851280.17,2024-06-17
1480,895,508726.07,645371.73,2022-12-28
1481,2559,441014.66,466097.71,2023-11-05
1482,1049,821651.47,998202.68,2023-02-10
1483,3053,18524.01,187723.12,2024-10-24
1484,3580,68302.33,902255.55,2025-09-16
1485,3632,681425.18,286867.81,2026-05-19
1486,2778,945005.86,370886.46,
1487,4850,928399.39,805711.83,2024-11-23
1488,2028,498575.34,612152.82,2023-06-02
1489,2789,36045.13,176651.09,2024-04-26
1490,2490,222692.24,755686.43,2025-07-13
1491,4552,,9683.81,2022-09-02
1492,348,638188.18,798690.28,2026-02-17
1493,2617,903839.56,330455.53,2026-01-09
1494,497,592787.97,736351.06,2024-08-12
1495,2530,265896.56,37127.96,2026-06-18
1496,3129,394633.82,968813.13,2022-08-01
1497,1063,820749.43,669334.77,2024-05-21
1498,2371,829639.75,564760.26,2025-08-17
1499,1968,974435.44,178269.53,2026-04-30
1500,4564,853859.26,966815.93,2026-12-04
1501,2137,989748.65,38404.51,2025-09-21
1502,3055,101737.39,,2022-07-08
1503,4761,132562.01,954862.64,2023-11-05
1504,4969,994062.15,209273.65,2026-09-02
1505,212,154284.11,152666.26,2025-06-24
1506,1472,339952.18,,2023-02-07
1507,4849,340930.46,881580.14,2026-02-06
1508,4262,38916.58,758208.81,2026-10-29
1509,287,353381.98,488387.09,2024-10-17
1510,1483,259202.37,456323.22,2026-11-25
1511,1270,505028.45,153323.5,
1512,2691,969506.97,,2023-08-21
1513,2702,919261.24,604382.26,2026-01-01
1514,2006,535802.92,499842.15,2026-12-30
1515,3845,672603.02,43071.99,2022-09-05
1516,3985,352731.48,786012.54,2022-11-21
1517,4972,455760.86,466480.15,2022-12-08
1518,3232,347187.22,719542.44,2026-04-07
1519,3417,363375.4,366385.68,2025-08-22
1520,3834,917594.25,843857.59,
1521,603,955361.01,943406.17,2024-10-10
1522,4496,619584.26,773154.69,2024-08-27
1523,3659,298377.25,109096.68,2024-04-21
1524,5,98626.13,786926.52,2024-10-12
1525,365,573311.88,425163.55,2022-09-07
1526,1726,196694.73,309727.01,2025-05-11
1527,3277,,880049.19,2026-01-13
1528,4497,925527.77,103851.75,2023-01-02
1529,1351,547907.71,204729.64,2024-11-22
1530,4777,206625.11,194496.2,2025-03-20
1531,2193,486157.73,499096.15,2024-04-29
1532,1730,7387.22,123594.05,2026-03-27
1533,1818,18809.82,,2026-07-11
1534,3236,289214.25,839599.64,2025-06-29
1535,1794,943831.3,547886.07,2023-04-24
1536,4899,145780.23,46825.13,
1537,988,495689.95,887330.86,2023-08-19
1538,16,414077.25,373828.04,2024-07-20
1539,722,754840.22,,2025-02-23
1540,3798,459425.41,499984.49,2024-03-29
1541,174,901999.71,372198.17,2026-01-21
1542,1081,526831.53,993793.04,2022-07-21
1543,3995,832442.49,814311.89,2026-06-14
1544,4362,942203.72,94026.34,2024-08-03
1545,2472,669871.12,292556.95,2023-11-11
1546,1802,426763.8,692453.68,2025-10-16
1547,4550,104491.92,586979.44,2023-02-11
1548,2667,779812.92,126318.09,2025-02-06
1549,3841,956886.74,440632.16,2026-01-21
1550,3856,131984.99,,2025-01-16
1551,917,626880.19,312995.01,2024-12-13
1552,4918,292842.83,513419.08,2022-12-12
1553,3088,,183233.71,2024-08-20
1554,1897,906068.92,10951.68,2025-02-23
1555,1073,451617.69,469809.69,2024-04-03
1556,3224,381460.26,837520.91,2025-02-02
1557,2707,583700.92,361360.43,2023-04-02
1558,626,346742.57,920327.93,2025-12-30
1559,554,184302.74,474179.46,2026-08-20
1560,495,753353.46,907024.79,2023-07-08
1561,4373,,572958.43,2026-08-17
1562,2596,723298.22,987946.43,2024-01-04
1563,2730,106506.03,950612.46,2025-04-27
1564,1437,,974554.55,2022-11-26
1565,4708,660563.88,770387.17,2025-09-15
1566,2185,838690.11,812913.27,2026-09-11
1567,4033,287836.19,52973.93,2025-03-13
1568,3500,624347.06,943986.94,2022-11-14
1569,2414,695176.29,898931.16,2024-05-18
1570,3095,789542.89,283249.94,2024-08-14
1571,3398,502848.5,901726.62,2024-06-28
1572,2926,18634.28,444697.7,2024-01-25
1573,4020,225613.02,581046.32,2022-08-15
1574,4100,965252.55,940144.29,2022-08-10
1575,2153,581484.04,112859.63,2022-11-26
1576,774,857870.12,929234.02,2026-04-10
1577,627,59791.41,72076.08,2023-04-25
1578,2788,726795.01,633449.47,2026-07-31
1579,689,844564.03,838178.53,2024-07-18
1580,711,748108.68,837349.55,2023-09-08
1581,954,226734.43,302372.5,2023-11-06
1582,2890,100588.32,358207.99,2026-08-04
1583,927,157759.7,189248.37,2025-02-23
1584,368,875163.21,491793.14,
1585,2581,837729.88,296643.72,2024-12-26
1586,1679,891799.23,462606.59,2022-12-10
1587,3137,12660.63,759082.22,2026-12-04
1588,1697,814271.58,275112.76,2024-03-20
1589,1582,905956.61,454410.48,2022-11-22
1590,1350,24529.25,775408.74,
1591,3325,596595.76,629626.02,2025-10-14
1592,3794,558221.4,,2023-04-19
1593,1089,830602.61,6402.42,2025-09-05
1594,377,507460.38,354850.55,2026-07-11
1595,3775,600279.9,185058.92,2022-12-21
1596,2891,767056.3,243983.15,2026-05-30
1597,232,530016.36,225644.64,2022-08-27
1598,2915,899372.46,387731.21,2023-02-02
1599,4103,930599.06,13666.56,2023-02-26
1600,2348,22563.25,749287.45,
1601,1873,274494.89,51484.3,2023-05-28
1602,2838,,480289.78,2026-01-19
1603,3497,352579.78,622725.34,2025-02-19
1604,4117,385220.38,790354.59,2023-01-09
1605,4094,364554.59,961986.26,2024-04-05
1606,204,899775.46,695800.63,2022-12-25
1607,1371,327696.61,562786.81,2024-09-11
1608,1630,458126.28,762304.0,2023-08-10
1609,1673,738491.31,596642.59,2026-02-23
1610,1055,108381.58,102007.27,2026-05-31
1611,311,89666.28,706548.18,2026-08-19
1612,1664,,280355.74,
1613,3798,537432.81,558510.47,2026-10-19
1614,128,644548.17,721732.41,2023-05-28
1615,4349,765538.9,611091.06,2025-11-20
1616,3768,291946.46,865997.66,2024-02-01
1617,1308,147790.72,113093.28,2024-10-24
1618,3787,945534.31,205410.66,2024-09-09
1619,4018,201484.88,96160.81,2024-03-22
1620,4662,819987.15,131241.43,2026-01-21
1621,2002,93631.17,581682.21,2023-05-18
1622,4561,555264.18,80602.92,2026-08-05
1623,2452,720951.2,634917.96,2026-06-07
1624,1899,642732.7,601053.59,2026-03-10
1625,684,671043.22,844664.5,2024-10-07
1626,717,888743.44,410239.92,2022-11-14
1627,3409,540313.91,29324.49,2026-07-07
1628,277,382268.19,707864.77,2023-09-15
1629,2801,670449.75,841702.92,2025-02-12
1630,944,727058.39,944117.05,2023-08-03
1631,2072,,,2026-03-26
1632,512,457903.97,224851.01,2023-12-09
1633,4945,853477.68,589817.62,2023-04-13
1634,1336,641926.68,513295.02,
1635,2028,147628.69,25887.46,2023-11-02
1636,4971,945574.81,832365.88,2025-05-01
1637,440,264811.8,303825.67,2026-07-10
1638,1769,756309.82,77063.81,2025-12-16
1639,3833,564872.4,86737.48,2023-10-17
1640,4940,584461.54,334646.79,2022-07-28
1641,1234,821196.2,341945.36,2026-04-03
1642,1978,,758215.47,2022-12-11
1643,1742,277518.63,849890.29,2024-08-20
1644,4027,324926.96,277521.0,2022-09-26
1645,4075,236782.07,468055.01,2025-09-24
1646,881,44259.08,745557.99,2024-12-13
1647,1104,,,2026-04-18
1648,1432,502690.1,405750.74,2026-09-12
1649,2585,194094.81,782039.14,2025-12-19
1650,1236,,714555.71,2025-09-12
1651,4551,85808.08,190782.1,2024-11-20
1652,3076,734052.22,931246.53,2025-11-04
1653,3873,652200.31,825009.95,2023-05-05
1654,4935,795394.52,320601.02,2025-06-08
1655,853,285169.33,391328.31,
1656,2424,775314.03,921221.29,2023-02-02
1657,1252,404127.26,322456.14,2026-03-02
1658,1732,,530361.01,2026-10-20
1659,1223,614080.27,10429.34,2024-07-01
1660,1637,925458.22,528417.06,2023-08-06
1661,4434,450248.72,148105.24,2024-09-03
1662,4931,688125.58,265332.95,2024-06-30
1663,4174,905886.38,924856.5,2025-07-30
1664,2112,430696.42,596812.15,2025-01-24
1665,2931,64.5,634358.5,2025-10-26
1666,1059,328069.6,,2026-12-07
1667,139,918454.47,964425.04,2023-02-28
1668,4330,22345.68,377799.39,2024-05-05
1669,4591,706607.88,407329.41,2025-05-06
1670,2968,259726.44,779114.5,2022-07-27
1671,3933,254078.23,436935.38,2023-02-20
1672,574,514395.3,135311.1,2024-08-10
1673,2312,,330336.64,2025-08-20
1674,3623,164291.42,281868.92,2026-02-04
1675,1939,389088.92,660237.45,2025-11-07
1676,3115,623344.06,331039.12,2025-12-27
1677,1888,45762.53,451334.34,2026-04-29
1678,1624,416743.76,252484.1,2025-03-26
1679,2761,653039.08,471629.88,2026-08-04
1680,4379,,205195.81,2023-07-09
1681,3043,609966.44,492442.42,2022-07-11
1682,4502,110131.27,521373.73,2024-05-31
1683,709,396483.92,836596.82,2022-09-10
1684,852,839365.35,225418.05,2024-11-17
1685,54,294227.79,39324.07,2025-06-05
1686,4365,24128.17,360824.52,2026-02-18
1687,4285,763421.67,499601.6,2025-11-08
1688,1244,430132.86,97252.06,2023-01-19
1689,4981,596773.22,799713.54,2024-05-05
1690,1978,603378.45,48451.14,2024-03-19
1691,4312,731600.61,878979.17,2022-12-13
1692,3194,791328.34,231394.63,2023-05-03
1693,5000,370413.86,429545.4,2025-08-17
1694,3161,672001.59,962818.05,2023-09-06
1695,1651,908881.93,145144.65,2025-07-29
1696,4344,753180.88,150319.11,2024-05-31
1697,1276,504707.33,912685.27,2023-10-18
1698,2720,845069.76,689491.02,2023-09-29
1699,2137,286647.95,162828.25,2025-04-28
1700,657,71384.69,940209.89,2024-07-17
1701,2261,191146.65,71992.52,2025-02-02
1702,1466,246703.62,310688.04,2022-10-28
1703,3482,497739.71,469673.22,2023-03-16
1704,221,196052.93,592018.32,
1705,2541,837052.5,,2026-08-01
1706,4492,209873.14,373806.21,2026-04-22
1707,2039,407804.45,987585.53,2025-07-26
1708,2392,868848.99,409300.22,2024-05-03
1709,1226,68031.03,256265.6,2022-11-12
1710,634,694903.58,105557.96,
1711,2621,810884.62,50716.2,2025-08-22
1712,978,,281923.64,2024-12-26
1713,4665,139339.06,709525.14,2025-12-21
1714,1931,333906.75,727849.93,
1715,3339,423023.15,877018.58,2023-03-18
1716,790,32189.68,655901.75,2024-01-28
1717,2786,700156.82,636597.25,2026-04-05
1718,4057,665387.01,822879.63,2025-09-15
1719,917,305383.96,886972.66,2026-08-28
1720,1540,928002.47,149474.8,2024-09-14
1721,2144,844066.14,430464.56,2022-12-24
1722,377,898491.91,53998.72,2026-03-26
1723,2931,319007.88,72459.55,2025-04-12
1724,2431,935930.28,341889.71,2025-05-03
1725,3049,,304246.82,2023-09-04
1726,654,977569.04,836572.95,2024-01-26
1727,2444,959262.67,221633.39,2023-09-29
1728,4310,790919.96,432935.9,2024-02-14
1729,4773,90690.22,139545.55,2023-02-15
1730,1979,198664.87,36127.54,2025-08-21
1731,2146,769880.09,889951.51,2022-09-25
1732,1305,266580.72,244130.23,2024-12-21
1733,4745,573687.6,487963.02,2023-10-25
1734,800,189998.9,568671.13,2026-08-26
1735,408,926096.48,724257.64,2023-12-09
1736,4265,441805.94,406427.18,2024-03-11
1737,3119,436588.05,679768.68,2022-07-22
1738,4137,841718.03,357275.87,2024-11-05
1739,4882,,,2022-12-20
1740,1987,811288.2,442439.25,2024-07-07
1741,4439,187574.56,854235.95,2025-03-02
1742,2507,555471.63,602438.47,2026-05-26
1743,389,927828.48,414607.7,2025-10-12
1744,1400,224659.03,654356.64,2024-10-04
1745,1815,955370.76,574016.98,2025-04-27
1746,727,90000.06,881990.79,2022-12-15
1747,2312,213897.53,306629.26,2024-07-07
1748,524,345769.2,656692.74,2026-05-23
1749,514,374601.22,1775.26,2026-09-29
1750,585,772817.93,12968.15,2024-05-25
1751,4993,526829.03,220849.06,2026-05-03
1752,4350,777549.54,349863.67,2023-10-06
1753,4262,608085.03,804391.28,2026-05-06
1754,3220,892464.86,181297.4,2026-07-03
1755,3733,,20043.57,
1756,1715,493113.56,861157.03,2023-10-21
1757,3754,834075.66,795533.92,2026-12-22
1758,1865,863046.75,178525.61,2026-06-14
1759,1525,437240.1,850632.49,2025-03-27
1760,1145,987646.27,107981.93,2024-01-28
1761,3293,276219.53,733204.04,2026-02-22
1762,3467,645543.23,810380.05,2025-02-17
1763,4066,896017.6,880218.83,2023-08-22
1764,123,50712.74,212923.07,2026-06-21
1765,3698,908708.56,79284.25,2024-04-01
1766,3656,,623938.47,2024-04-29
1767,726,966390.56,309476.24,2025-08-10
1768,2516,206815.34,340494.88,2025-05-03
1769,3740,296133.88,212115.14,2024-09-22
1770,4859,,882893.73,2023-12-21
1771,3234,618835.18,279329.11,2022-11-09
1772,4607,693734.36,728625.04,2024-10-25
1773,560,261843.93,724730.97,2024-05-12
1774,4256,84886.2,497782.92,
1775,1098,530722.41,793252.35,2026-07-06
1776,3547,410004.32,790870.11,2025-04-30
1777,1183,152057.87,,2023-07-21
1778,4613,,612668.83,2024-04-06
1779,3310,201973.78,227699.53,2025-07-10
1780,923,237923.54,640847.82,2022-08-23
1781,4572,,239127.78,2022-09-26
1782,4879,576064.36,555904.76,2025-04-10
1783,1347,707382.73,742151.63,2024-01-13
1784,834,989198.2,505489.84,2023-08-15
1785,4535,631957.23,,2024-06-14
1786,4868,,696440.38,2024-05-23
1787,528,370712.58,973664.31,2023-12-25
1788,1544,956956.93,136034.66,2025-02-13
1789,4152,880866.93,593208.39,2026-04-06
1790,1780,614305.0,,2024-11-13
1791,2344,630417.88,235784.0,2025-05-29
1792,1293,257510.36,407691.83,2024-01-15
1793,3009,347300.44,419087.95,2022-08-07
1794,3322,350544.77,821649.33,2022-08-28
1795,4394,361880.16,96035.67,
1796,2591,58051.59,408638.99,2024-06-28
1797,3475,72103.12,854024.48,2025-07-27
1798,3901,271505.49,625085.15,2024-11-06
1799,2848,569436.74,83628.45,2024-10-03
1800,3419,185968.13,721257.63,2025-02-04
1801,2337,2377.64,100502.42,2026-01-15
1802,4060,225031.76,884039.2,2023-11-01
1803,4372,594198.05,721583.62,2026-01-09
1804,389,796835.86,310035.09,2026-04-08
1805,2538,641609.82,343575.68,2025-11-25
1806,4272,904785.64,567550.19,2022-11-08
1807,40,585.33,763109.25,2023-07-01
1808,4232,327690.58,546372.68,2026-12-21
1809,575,987097.41,674091.07,2026-01-08
1810,3302,,488526.86,2023-01-25
1811,1454,322639.73,246306.75,2025-10-03
1812,457,27744.28,413530.39,2023-01-23
1813,3254,11994.82,,2024-04-22
1814,4319,188039.57,509922.7,2025-02-21
1815,3480,166738.26,666002.58,2022-12-08
1816,2315,360248.19,110013.89,2024-03-26
1817,2211,848210.14,457481.67,2023-08-09
1818,1976,547055.27,,2022-07-20
1819,4941,633231.76,576301.28,2025-07-12
1820,4092,816854.25,313332.41,2026-06-02
1821,1900,730978.71,335462.61,2025-05-14
1822,1838,385199.92,504683.8,2023-07-06
1823,3329,172473.91,586804.55,2026-05-05
1824,3459,690345.83,883294.71,2023-05-23
1825,2340,481996.44,488309.78,2022-09-24
1826,564,525453.6,,2026-11-15
1827,4838,337746.51,878892.96,
1828,2031,160202.81,8069.78,2023-12-15
1829,2734,502875.94,208629.36,2022-12-11
1830,3329,,422955.65,2025-10-20
1831,4361,863997.56,989626.81,2024-02-03
1832,1249,931627.52,87871.96,2026-03-26
1833,551,193782.25,916850.07,
1834,1522,107905.37,781809.36,2025-12-12
1835,3002,888884.36,428441.99,2024-10-26
1836,3384,796237.95,43568.28,2022-10-28
1837,4863,624667.8,273607.62,2024-11-01
1838,1970,473931.89,612200.68,2024-09-19
1839,2636,199588.34,753595.55,2025-06-05
1840,3040,613793.85,488446.28,2023-01-17
1841,3780,369741.14,698763.05,
1842,2212,891252.92,129444.97,2024-12-08
1843,818,533397.77,761336.51,2026-01-29
1844,2327,945023.25,178927.43,2023-12-13
1845,1321,474344.32,567159.96,2022-09-02
1846,2921,868072.5,347532.72,2024-03-06
1847,3798,159270.58,534950.6,2025-10-15
1848,17,218188.89,743973.7,2023-11-24
1849,3284,569948.38,456635.25,2023-02-03
1850,1729,860652.8,295680.57,2026-09-02
1851,3867,997340.07,462855.66,2022-12-05
1852,3360,721944.92,748726.54,2026-10-16
1853,4981,,586060.81,2024-11-29
1854,1396,574848.19,96486.18,2025-01-07
1855,2855,56543.87,172142.13,2026-04-05
1856,1780,986252.54,773146.68,2026-11-22
1857,4463,582563.23,731947.59,2024-11-20
1858,4184,980088.44,28563.74,2026-07-17
1859,2898,85348.85,,2023-06-19
1860,4319,89987.82,747657.87,2022-12-07
1861,3624,650870.31,41793.63,
1862,4086,517155.49,328431.2,2025-05-31
1863,2109,206192.03,604286.82,2025-06-29
1864,922,643347.29,556387.29,2025-05-31
1865,853,826314.56,487183.67,2023-12-19
1866,806,596046.41,,
1867,3938,83298.79,31759.39,2024-02-17
1868,1951,729264.09,919068.05,2023-01-19
1869,3951,962248.27,180186.84,2024-10-04
1870,2832,251002.94,802240.31,2022-09-14
1871,3864,655299.93,726168.52,2023-07-10
1872,4397,116671.53,303183.39,2025-06-26
1873,2521,206511.38,209726.54,2025-03-21
1874,4604,979190.79,193033.22,2026-11-30
1875,4316,731454.08,70197.53,2026-12-08
1876,4754,107156.03,848022.01,2024-06-21
1877,2719,994846.62,99203.81,2023-10-19
1878,1385,968673.33,341718.72,2023-10-23
1879,3215,467541.93,304843.09,2026-02-26
1880,503,58601.56,15166.48,2023-05-29
1881,2494,537777.72,177007.1,2022-09-07
1882,4283,250122.7,798012.0,2026-02-16
1883,2086,503933.86,127592.62,2023-02-19
1884,644,921274.11,7001.95,2025-10-27
1885,2117,968990.61,785614.67,
1886,4261,872970.08,633447.3,2026-01-04
1887,1863,526198.76,940185.97,2024-05-02
1888,4147,370055.56,561017.26,2024-05-12
1889,4213,47886.12,870012.02,2024-12-12
1890,3269,151362.13,91229.84,2026-03-16
1891,3646,748260.62,305036.12,2023-01-13
1892,648,874418.97,271771.16,2025-06-14
1893,333,875776.37,152005.15,2026-01-01
1894,4557,852732.74,369088.26,2026-08-09
1895,2715,770125.31,17814.22,2024-07-12
1896,4713,772711.25,568999.29,2023-11-29
1897,4612,616574.19,685008.73,2023-07-28
1898,4789,728022.02,218540.53,2026-08-01
1899,1448,192417.4,80662.67,2024-02-22
1900,1160,281487.29,229237.79,2023-10-31
1901,1196,635967.91,,2025-05-07
1902,1388,992420.17,6503.81,2022-07-20
1903,60,429889.25,668352.63,2025-04-14
1904,3309,734871.77,587332.35,2023-12-18
1905,2521,254032.43,127917.69,2024-09-05
1906,4734,,404641.28,2022-07-19
1907,11,870338.24,969657.72,2025-03-06
1908,1701,395648.57,945198.36,2024-10-15
1909,3930,689050.56,313121.61,2022-08-06
1910,2317,233855.76,18116.88,
1911,4029,160133.38,580340.38,2023-03-14
1912,827,947423.08,,2026-06-21
1913,3979,17992.06,140940.21,2022-10-12
1914,3879,836736.21,484479.03,2023-11-12
1915,952,797555.83,71300.43,2025-07-23
1916,56,489229.1,632066.07,2025-03-08
1917,3283,38219.67,999710.76,2023-01-03
